Lat-Long,Count,
40.75-74.38,1,
40.69-73.70,2,
40.69-73.72,5,
40.69-73.71,4,
40.69-73.74,8,
40.69-73.73,1,
40.69-73.76,11,
41.04-73.68,1,
40.80-73.69,2,
40.69-73.75,6,
41.04-73.69,1,
40.69-73.78,3,
40.75-74.32,1,
40.80-73.68,1,
40.75-74.31,1,
40.80-73.67,11,
40.69-73.77,2,
40.75-74.33,1,
40.69-73.79,8,
41.01-73.91,1,
40.77-74.00,464,
41.01-73.93,1,
40.77-74.01,5,
41.01-73.92,2,
40.80-73.60,1,
41.01-73.94,1,
40.80-73.66,7,
40.80-73.65,10,
40.80-73.64,2,
40.77-74.08,4,
40.77-74.06,7,
40.77-74.07,5,
40.77-74.04,6,
40.77-74.05,1,
40.77-74.02,44,
40.77-74.03,30,
40.60-74.09,2,
40.60-74.08,4,
40.65-74.28,1,
40.71-73.90,39,
40.60-74.01,13,
40.71-73.91,74,
40.60-74.00,24,
40.71-73.92,414,
40.60-74.03,1,
40.71-73.93,557,
40.71-73.94,1173,
40.65-74.21,1,
40.71-73.95,1798,
40.71-73.96,2648,
40.60-74.07,2,
40.71-73.97,1174,
40.60-74.06,1,
40.71-73.98,606,
41.02-73.76,3,
40.71-73.99,1214,
41.02-73.75,1,
41.28-73.68,1,
41.02-73.73,8,
40.73-74.07,37,
41.02-73.72,14,
40.73-74.06,68,
41.02-73.71,26,
40.73-74.09,1,
41.02-73.70,3,
40.73-74.08,11,
40.73-74.03,193,
40.73-74.05,154,
40.73-74.04,265,
40.73-74.01,10485,
41.02-73.78,3,
40.73-74.00,23030,
41.02-73.77,1,
40.60-74.19,1,
40.99-74.00,1,
40.71-73.80,32,
40.99-74.06,1,
40.65-74.30,4,
40.71-73.81,7,
40.71-73.82,31,
40.99-74.08,1,
40.60-74.13,1,
40.71-73.83,68,
40.99-74.03,1,
40.65-74.32,1,
40.71-73.84,33,
40.71-73.85,24,
40.99-74.05,1,
40.65-74.34,3,
40.65-74.35,4,
40.99-74.04,1,
40.71-73.86,16,
40.71-73.87,20,
41.02-73.65,2,
40.71-73.88,12,
41.02-73.64,5,
41.02-73.63,10,
40.71-73.89,15,
41.02-73.62,6,
41.02-73.69,2,
40.76-73.89,39,
40.76-73.88,34,
41.23-73.68,1,
40.65-74.40,1,
40.76-73.87,30,
40.71-73.70,1,
40.76-73.86,15,
40.71-73.71,1,
40.76-73.85,72,
40.60-74.27,1,
40.71-73.72,3,
40.76-73.84,134,
40.71-73.73,2,
40.76-73.83,120,
40.60-74.29,1,
40.71-73.74,7,
40.71-73.75,24,
40.60-74.28,2,
40.76-73.82,29,
40.76-73.81,16,
40.71-73.76,6,
40.76-73.80,14,
40.71-73.77,5,
40.71-73.78,22,
40.71-73.79,43,
40.23-74.62,1,
40.73-74.29,1,
40.73-74.28,7,
40.73-74.25,2,
40.73-74.27,5,
40.73-74.26,1,
41.02-73.59,1,
41.02-73.58,4,
41.02-73.57,1,
40.73-74.20,2,
41.02-73.56,1,
40.73-74.23,1,
40.73-74.22,2,
40.65-74.58,1,
40.36-74.60,1,
40.60-74.34,1,
40.76-73.99,15352,
40.76-73.98,33189,
40.60-74.36,1,
40.76-73.97,29880,
40.71-73.60,3,
40.76-73.96,5061,
40.71-73.61,2,
40.76-73.95,376,
40.71-73.62,4,
40.76-73.94,68,
40.71-73.63,3,
40.76-73.93,308,
40.36-74.61,1,
40.71-73.64,2,
40.76-73.92,472,
40.71-73.65,1,
40.71-73.66,3,
40.76-73.91,182,
40.76-73.90,44,
40.71-73.68,6,
40.73-74.18,8,
40.71-73.69,3,
40.60-74.30,1,
40.73-74.17,67,
40.73-74.19,3,
40.73-74.14,7,
40.73-74.13,1,
40.73-74.16,74,
40.73-74.15,8,
40.94-74.16,1,
40.94-74.13,1,
40.94-74.12,1,
41.23-73.04,1,
40.60-74.49,1,
40.71-73.50,1,
40.94-74.18,1,
40.90-74.49,1,
40.71-73.57,1,
40.71-73.58,2,
40.71-73.59,1,
40.60-74.43,1,
40.94-74.26,1,
40.94-74.22,2,
40.65-74.08,1,
40.65-74.09,1,
40.65-74.00,71,
40.65-74.01,120,
40.65-74.02,88,
41.21-74.18,1,
40.65-74.14,1,
40.94-74.03,2,
40.65-74.19,3,
40.94-74.07,1,
40.65-74.12,2,
40.71-73.24,1,
40.71-73.25,1,
40.95-74.26,1,
40.70-73.33,1,
40.70-73.31,1,
40.70-73.32,2,
40.95-74.13,1,
40.95-74.10,1,
40.95-74.12,1,
40.61-74.43,1,
40.61-74.32,1,
41.32-73.99,1,
40.61-74.29,1,
40.61-74.26,2,
40.95-74.31,1,
40.61-74.18,6,
40.61-74.16,1,
40.61-74.13,3,
40.61-74.12,4,
40.61-74.10,1,
40.61-74.09,3,
40.61-74.08,4,
40.61-74.07,1,
40.61-74.06,10,
40.61-74.04,12,
40.61-74.03,41,
40.61-74.02,40,
40.61-74.01,31,
40.61-74.00,25,
40.99-74.10,1,
40.99-74.12,1,
40.99-74.16,1,
41.32-73.69,1,
40.72-73.62,3,
40.72-73.63,7,
40.72-73.60,18,
40.77-73.80,3,
40.72-73.61,1,
40.77-73.86,2890,
40.77-73.85,2,
40.77-73.88,188,
40.72-73.68,3,
40.77-73.87,6441,
40.79-73.19,1,
40.77-73.82,16,
40.72-73.66,2,
40.77-73.81,10,
40.77-73.84,13,
40.72-73.64,11,
40.77-73.83,18,
40.72-73.65,4,
40.77-73.89,1168,
40.74-73.13,1,
40.64-74.44,1,
40.72-73.73,6,
40.72-73.74,11,
40.77-73.91,240,
40.72-73.71,6,
40.77-73.90,127,
40.72-73.72,1,
40.72-73.70,4,
40.79-73.37,1,
40.77-73.97,6188,
40.77-73.96,12166,
40.77-73.99,5252,
40.72-73.79,26,
40.77-73.98,10250,
40.77-73.93,195,
40.72-73.77,11,
40.77-73.92,449,
40.72-73.78,29,
40.77-73.95,5691,
40.72-73.75,5,
40.77-73.94,137,
40.72-73.76,2,
40.74-73.24,1,
40.79-73.42,1,
40.64-74.77,2,
40.79-73.45,1,
40.79-73.46,1,
40.70-73.99,3176,
40.79-73.48,2,
40.70-73.93,1088,
40.77-73.64,3,
40.70-73.94,549,
40.77-73.63,1,
40.70-73.91,184,
40.70-73.92,493,
40.77-73.65,2,
40.70-73.97,476,
40.77-73.60,2,
40.70-73.98,880,
40.70-73.95,370,
40.77-73.62,1,
40.72-73.42,1,
40.70-73.96,298,
40.77-73.68,8,
40.77-73.67,1,
40.70-73.90,63,
40.64-74.64,1,
40.74-73.32,1,
40.79-73.50,2,
40.79-73.51,2,
40.70-73.88,10,
40.70-73.89,33,
40.79-73.55,8,
40.74-73.37,1,
